servers's processes start in 23:19:17
iteration 574::  602.329 ms
iteration 575::  527.277 ms
iteration 576::  517.957 ms
iteration 577::  548.589 ms
iteration 578::  620.341 ms
iteration 579::  608.103 ms
iteration 580::  539.05 ms
iteration 581::  522.055 ms
iteration 582::  567.143 ms
iteration 583::  547.137 ms
iteration 584::  529.562 ms
iteration 585::  596.47 ms
iteration 586::  560.622 ms
iteration 587::  549.136 ms
iteration 588::  528.321 ms
iteration 589::  519.917 ms
iteration 590::  530.286 ms
iteration 591::  545.563 ms
iteration 592::  507.055 ms
iteration 593::  521.428 ms
iteration 594::  526.875 ms
iteration 595::  543.636 ms
iteration 596::  543.761 ms
iteration 597::  526.641 ms
iteration 598::  548.951 ms
iteration 599::  532.92 ms
iteration 600::  531.692 ms
iteration 601::  528.535 ms
iteration 602::  533.003 ms
iteration 603::  537.053 ms
iteration 604::  549.643 ms
iteration 605::  565.811 ms
iteration 606::  592.961 ms
iteration 607::  582.535 ms
iteration 608::  603.969 ms
iteration 609::  533.906 ms
iteration 610::  536.419 ms
iteration 611::  511.647 ms
iteration 612::  505.061 ms
iteration 613::  519.481 ms
iteration 614::  575.616 ms
iteration 615::  510.848 ms
iteration 616::  508.357 ms
iteration 617::  508.58 ms
iteration 618::  508.826 ms
iteration 619::  576.186 ms
iteration 620::  568.746 ms
iteration 621::  645.032 ms
iteration 622::  630.231 ms
iteration 623::  581.831 ms
iteration 624::  602.481 ms
iteration 625::  573.785 ms
iteration 626::  590.499 ms
iteration 627::  573.738 ms
iteration 628::  534.387 ms
iteration 629::  540.654 ms
iteration 630::  530.782 ms
iteration 631::  587.313 ms
iteration 632::  643.82 ms
iteration 633::  562.064 ms
iteration 634::  523.544 ms
iteration 635::  524.226 ms
iteration 636::  524.738 ms
iteration 637::  512.347 ms
iteration 638::  515.21 ms
iteration 639::  637.989 ms
iteration 640::  561.066 ms
iteration 641::  537.183 ms
iteration 642::  585.022 ms
iteration 643::  531.953 ms
iteration 644::  572.822 ms
iteration 645::  523.194 ms
iteration 646::  565.833 ms
iteration 647::  541.014 ms
iteration 648::  609.108 ms
iteration 649::  599.372 ms
iteration 650::  578.995 ms
iteration 651::  615.411 ms
iteration 652::  590.314 ms
iteration 653::  544.442 ms
iteration 654::  582.372 ms
iteration 655::  567.746 ms
iteration 656::  578.637 ms
iteration 657::  618.547 ms
iteration 658::  567.849 ms
iteration 659::  686.737 ms
iteration 660::  575.372 ms
iteration 661::  586.882 ms
iteration 662::  611.055 ms
iteration 663::  563.236 ms
iteration 664::  512.913 ms
iteration 665::  570.498 ms
iteration 666::  527.875 ms
iteration 667::  518.328 ms
iteration 668::  594.231 ms
iteration 669::  552.421 ms
iteration 670::  514.523 ms
iteration 671::  523.355 ms
iteration 672::  597.972 ms
iteration 673::  541.881 ms
iteration 674::  637.156 ms
iteration 675::  546.042 ms
iteration 676::  554.615 ms
iteration 677::  574.739 ms
iteration 678::  632.074 ms
iteration 679::  687.76 ms
iteration 680::  548.74 ms
iteration 681::  507.216 ms
iteration 682::  538.09 ms
iteration 683::  518.338 ms
iteration 684::  506.501 ms
iteration 685::  617.613 ms
iteration 686::  574.764 ms
iteration 687::  539.57 ms
iteration 688::  555.797 ms
iteration 689::  545.903 ms
iteration 690::  608.516 ms
iteration 691::  521.963 ms
iteration 692::  528.03 ms
iteration 693::  542.08 ms
iteration 694::  599.25 ms
iteration 695::  574.419 ms
iteration 696::  542.897 ms
iteration 697::  523.405 ms
iteration 698::  569.377 ms
iteration 699::  536.635 ms
iteration 700::  537.216 ms
iteration 701::  529.222 ms
iteration 702::  593.897 ms
iteration 703::  538.166 ms
iteration 704::  515.632 ms
iteration 705::  599.363 ms
