,thread,time,event
,3,5075,task 16 pass to 2
,3,5076,task 18 pass to 0
,0,5078,worker executed 16 task
,0,5078,worker try execute another tasks from 1 rank
,0,5087,rank 1 haven't tasks
,0,5087,worker try execute another tasks from 0 rank
,0,5090,rank 0 haven't tasks
,0,5090,worker finished job
,6,5091,tasks.size = 12
,0,5113,worker is executing own tasks
,3,5132,task 23 pass to 1
,0,5138,worker is executing another tasks
,0,5138,worker try execute another tasks from 1 rank
,0,5138,rank 1 haven't tasks
,0,5139,worker try execute another tasks from 0 rank
,3,5143,task 18 pass to 1
,0,5143,rank 0 haven't tasks
,0,5143,worker finished job
,6,5167,tasks.size = 12
,0,5170,worker is executing own tasks
,3,5194,task 22 pass to 1
,0,5196,worker is executing another tasks
,0,5196,worker try execute another tasks from 1 rank
,3,5196,task 21 pass to 1
,0,5211,rank 1 haven't tasks
,0,5211,worker try execute another tasks from 0 rank
,0,5212,rank 0 haven't tasks
,0,5212,worker finished job
,6,5243,tasks.size = 12
,0,5247,worker is executing own tasks
,3,5265,change location in 1 for task 24 counter was 1
,3,5268,change location in 0 for task 24 counter was 0
,3,5268,map changed for task 24; sendedTaskCounter.size = 0
,3,5276,delete task 24
,3,5279,change location in 0 for task 12 counter was 1
,0,5280,worker is executing another tasks
,0,5280,worker try execute another tasks from 1 rank
,0,5280,rank 1 haven't tasks
,0,5280,worker try execute another tasks from 0 rank
,3,5281,delete task 12
,3,5281,change location in 1 for task 12 counter was 0
,3,5281,map changed for task 12; sendedTaskCounter.size = 0
,0,5291,rank 0 haven't tasks
,0,5291,worker finished job
,6,5319,tasks.size = 10
,0,5340,worker is executing own tasks
,0,5360,worker is executing another tasks
,0,5360,worker try execute another tasks from 1 rank
,3,5372,task 24 pass to 1
,3,5372,task 18 pass to 2
,0,5375,worker executed 18 task
,0,5375,worker try execute another tasks from 1 rank
,0,5375,rank 1 haven't tasks
,0,5375,worker try execute another tasks from 0 rank
,0,5375,rank 0 haven't tasks
,0,5375,worker finished job
,6,5376,tasks.size = 11
,0,5382,worker is executing own tasks
,3,5404,task 22 pass to 0
,0,5406,worker is executing another tasks
,3,5407,task 24 pass to 0
,0,5407,worker try execute another tasks from 1 rank
,0,5407,rank 1 haven't tasks
,0,5407,worker try execute another tasks from 0 rank
,0,5423,rank 0 haven't tasks
,0,5423,worker finished job
,6,5437,tasks.size = 11
,0,5453,worker is executing own tasks
,0,5476,worker is executing another tasks
,0,5476,worker try execute another tasks from 1 rank
,3,5477,task 17 pass to 2
,0,5480,worker executed 17 task
,0,5480,worker try execute another tasks from 1 rank
,3,5481,task 23 pass to 2
,0,5483,worker executed 23 task
,0,5483,worker try execute another tasks from 1 rank
,3,5486,task 12 pass to 2
,0,5489,worker executed 12 task
,0,5489,worker try execute another tasks from 1 rank
,0,5489,rank 1 haven't tasks
,0,5489,worker try execute another tasks from 0 rank
,0,5489,rank 0 haven't tasks
,0,5489,worker finished job
,6,5504,tasks.size = 14
,0,5515,worker is executing own tasks
,3,5537,change location in 0 for task 17 counter was 1
,0,5544,worker is executing another tasks
,0,5544,worker try execute another tasks from 1 rank
,3,5544,change location in 1 for task 17 counter was 0
,3,5544,map changed for task 17; sendedTaskCounter.size = 0
,3,5545,task 21 pass to 2
,3,5545,delete task 17
,0,5548,worker executed 21 task
,0,5548,worker try execute another tasks from 1 rank
,0,5550,rank 1 haven't tasks
,0,5550,worker try execute another tasks from 0 rank
,0,5557,rank 0 haven't tasks
,0,5557,worker finished job
,6,5580,tasks.size = 14
,0,5607,worker is executing own tasks
,3,5608,task 2 pass to 1
,3,5611,task 6 pass to 1
,3,5613,task 8 pass to 1
,3,5630,change location in 0 for task 23 counter was 1
,3,5630,delete task 23
,3,5633,change location in 1 for task 23 counter was 0
,3,5633,map changed for task 23; sendedTaskCounter.size = 1
,0,5634,worker is executing another tasks
,0,5635,worker try execute another tasks from 1 rank
,0,5635,rank 1 haven't tasks
,0,5635,worker try execute another tasks from 0 rank
,0,5635,rank 0 haven't tasks
,0,5635,worker finished job
,3,5637,change location in 1 for task 21 counter was 1
,3,5637,change location in 0 for task 21 counter was 0
,3,5637,map changed for task 21; sendedTaskCounter.size = 0
,3,5637,delete task 21
,6,5638,tasks.size = 12
,0,5655,worker is executing own tasks
,3,5667,task 22 pass to 1
,3,5670,task 17 pass to 1
,3,5672,task 21 pass to 1
,3,5673,change location in 0 for task 16 counter was 1
,3,5673,delete task 16
,3,5673,change location in 1 for task 16 counter was 0
,3,5673,map changed for task 16; sendedTaskCounter.size = 0
,0,5676,worker is executing another tasks
,0,5676,worker try execute another tasks from 1 rank
,3,5677,change location in 1 for task 12 counter was 1
,3,5677,delete task 12
,3,5677,change location in 0 for task 12 counter was 0
,3,5677,map changed for task 12; sendedTaskCounter.size = 0
,0,5677,rank 1 haven't tasks
,0,5677,worker try execute another tasks from 0 rank
,0,5677,rank 0 haven't tasks
,0,5677,worker finished job
,6,5692,tasks.size = 10
,0,5695,worker is executing own tasks
,0,5716,worker is executing another tasks
,0,5716,worker try execute another tasks from 1 rank
,3,5717,task 22 pass to 2
,3,5719,task 21 pass to 0
,0,5719,worker executed 22 task
,0,5719,worker try execute another tasks from 1 rank
,0,5719,rank 1 haven't tasks
,0,5719,worker try execute another tasks from 0 rank
,0,5719,rank 0 haven't tasks
,0,5719,worker finished job
,6,5728,tasks.size = 11
,0,5737,worker is executing own tasks
,0,5760,worker is executing another tasks
,0,5760,worker try execute another tasks from 1 rank
,0,5761,rank 1 haven't tasks
,0,5761,worker try execute another tasks from 0 rank
,0,5761,rank 0 haven't tasks
,0,5761,worker finished job
,6,5765,tasks.size = 11
,0,5769,worker is executing own tasks
,0,5793,worker is executing another tasks
,0,5793,worker try execute another tasks from 1 rank
,0,5793,rank 1 haven't tasks
,0,5793,worker try execute another tasks from 0 rank
,0,5793,rank 0 haven't tasks
,0,5793,worker finished job
,6,5802,tasks.size = 11
,0,5805,worker is executing own tasks
,0,5828,worker is executing another tasks
,0,5828,worker try execute another tasks from 1 rank
,3,5829,task 17 pass to 2
,0,5832,worker executed 17 task
,0,5832,worker try execute another tasks from 1 rank
,0,5840,rank 1 haven't tasks
,0,5840,worker try execute another tasks from 0 rank
,0,5841,rank 0 haven't tasks
,0,5841,worker finished job
,6,5853,tasks.size = 12
,0,5864,worker is executing own tasks
